structure_id,grid_point_id_2023,lat,lon,foundation_type(0=pier;1=slab;2=mobilehome;3=other;null=slab),foundation_height_ft,sqft_footprint,sqft_total,num_stories,str_damage_curve_id,con_damage_curve_id,inv_damage_curve_id,match_confidence,has_garage,year_built,gbs_code,elev_g000_s00_y01,elev_ft_g500_s07_y01,imputed_foundation_ht,imputed_num_stories,imputed_total_sqft,structure_value,contents_value,inventory_value,replacement_cost
5443,46012,29.9737925,-90.0397715,1.0,1.31,1816.0,1440.0,1.0,156,58,,7,1.0,2007.0,RES1,-1.443569554,-1.45,1.31,1,1816.0,193741.8049,133681.8454,0.0,327423.6503
15527,52621,30.0217745,-89.9676015,1.0,0.58,1680.0,1482.0,1.0,156,58,,7,1.0,1970.0,RES1,-3.871391076,-3.9,0.58,1,1680.0,239298.92,165116.2548,0.0,404415.1748
24737,105781,30.4274996,-90.48939025,1.0,0.58,2146.0,2328.0,1.0,156,58,,7,1.0,1976.0,RES1,14.56692913,14.55,0.58,1,2328.0,377559.602,260516.1254,0.0,638075.7274
26181,63531,29.95532505,-90.37850369,1.0,0.57,2604.0,1440.0,1.0,156,58,,7,1.0,1978.0,RES1,6.922572178,6.9,0.57,1,2604.0,419737.094,289618.5949,0.0,709355.6889
37039,104918,30.0546285,-91.991131,1.0,1.37,3192.0,1879.0,1.0,156,58,,6,1.0,1860.0,RES1,21.29265092,21.7,1.37,1,3192.0,618773.988,426954.0517,0.0,1045728.04
68607,1995,30.01616,-93.16654,1.0,0.56,3906.0,2800.0,1.0,156,58,,7,,2008.0,RES1,12.86089239,12.95,0.56,1,3906.0,596903.202,411863.2094,0.0,1008766.411
74445,82897,30.33772,-89.9934,1.0,0.59,1270.0,1065.0,1.0,156,58,,3,,2003.0,RES1,18.14304462,18.12,0.59,1,1270.0,166131.4305,114630.687,0.0,280762.1175
90092,89666,29.92163,-89.98851,1.0,0.65,1200.0,1459.0,1.0,156,58,,7,1.0,1950.0,RES1,1.57480315,1.72,0.65,1,1459.0,244761.629,168885.524,0.0,413647.153
111530,104918,30.06038,-91.99672,1.0,0.58,2084.0,1361.0,1.0,156,58,,6,1.0,2008.0,RES1,20.63648294,20.86,0.58,1,2084.0,412759.116,284803.79,0.0,697562.906
138254,65307,30.0084,-90.41487,1.0,0.63,3920.5,2537.0,1.0,156,58,,7,1.0,1955.0,RES1,5.905511811,6.03,0.63,1,3920.5,620920.6745,428435.2654,0.0,1049355.94
141047,125134,29.74547,-90.02211,1.0,0.67,3060.0,3120.0,1.0,156,58,,7,,2001.0,RES1,2.526246719,2.51,0.67,1,3120.0,476789.04,328984.4376,0.0,805773.4776
157401,105723,30.22286,-89.81504,1.0,0.57,3517.5,2456.0,1.0,156,58,,7,1.0,1985.0,RES1,9.022309711,9.02,0.57,1,3517.5,679295.505,468713.8985,0.0,1148009.403
162642,47404,29.92771,-90.01651,1.0,0.8,1320.0,1372.0,1.0,156,58,,7,1.0,1965.0,RES1,-3.543307087,-3.57,0.8,1,1372.0,199008.7778,137316.0567,0.0,336324.8345
171586,41993,30.10895,-92.07788,1.0,0.62,152.0,1703.0,1.0,156,58,,6,1.0,1980.0,RES1,22.96587927,21.04,0.62,1,1703.0,341918.262,235923.6008,0.0,577841.8628
181278,19149,30.01509,-93.19487,1.0,0.51,4313.0,1672.0,1.0,156,58,,3,,1974.0,RES1,12.20472441,12.22,0.51,1,4313.0,659099.721,454778.8075,0.0,1113878.528
181283,104706,29.98689,-93.39137,1.0,0.6,2153.5,2000.0,1.0,156,58,,6,,1959.0,RES1,8.628608924,8.61,0.6,1,2153.5,329091.4095,227073.0726,0.0,556164.4821
195049,72487,30.25093,-89.75681,1.0,0.81,3203.0,1947.0,1.0,156,58,,7,1.0,2015.0,RES1,6.955380577,6.94,0.81,1,3203.0,511274.477,352779.3891,0.0,864053.8661
202699,50879,30.03777,-89.99314,1.0,0.78,4438.5,2260.0,1.0,156,58,,7,1.0,2000.0,RES1,-7.086614173,-6.02,0.78,1,4438.5,447113.3967,308508.2437,0.0,755621.6404
249387,24996,30.46178,-90.04829,1.0,0.66,3058.0,2196.0,1.0,156,58,,6,1.0,2004.0,RES1,20.37401575,19.75,0.66,1,3058.0,593858.832,409762.5941,0.0,1003621.426
275420,56128,29.93033,-90.00014,1.0,0.64,1630.0,2378.0,1.0,156,58,,7,1.0,1960.0,RES1,2.952755906,3.41,0.64,1,2378.0,385200.452,265788.3119,0.0,650988.7639
