Region,Segment,Single & 2-4 Family Home Indicator,Inland Flood Fluvial Building,Inland Flood Fluvial Contents,Inland Flood Pluvial Building,Inland Flood Pluvial Contents,Storm Surge Building,Storm Surge Contents,Tsunami Building,Tsunami Contents,Great Lakes Building,Great Lakes Contents,Coastal Erosion Building,Coastal Erosion Contents
AL,1.0,Yes,0.0,0.0,2.663,5.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FL,1.0,Yes,0.54,0.802,2.862,5.102,1.255,1.636,0.0,0.0,0.0,0.0,0.0,0.0
GA,1.0,Yes,0.842,1.28,5.932,7.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LA,1.0,Yes,2.448,3.585,0.693,1.551,8.632,13.546,0.0,0.0,0.0,0.0,2.128,0.474
MS,1.0,Yes,1.001,1.302,3.072,5.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,1.0,Yes,3.116,1.264,4.343,2.222,1.739,2.034,0.0,0.0,0.0,0.0,0.0,0.0
SC,1.0,Yes,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,1.0,Yes,0.361,0.531,1.898,3.264,4.434,6.133,0.0,0.0,0.0,0.0,0.054,0.027
CT,2.0,Yes,0.0,0.0,10.312,13.793,0.399,0.714,0.0,0.0,0.0,0.0,0.0,0.0
DC,2.0,Yes,0.0,0.0,4.874,3.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,2.0,Yes,0.0,0.0,6.781,15.409,5.503,9.156,0.0,0.0,0.0,0.0,0.0,0.0
MA,2.0,Yes,5.515,6.438,3.683,3.154,1.659,2.227,0.0,0.0,0.0,0.0,0.0,0.0
MD,2.0,Yes,0.0,0.0,7.73,11.169,0.83,1.034,0.0,0.0,0.0,0.0,1.756,0.192
ME,2.0,Yes,5.455,7.854,0.932,0.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
