Region,Segment,Single & 2-4 Family Home Indicator,  Inland Flood Building,  Inland Flood Contents, Storm Surge Non-Barrier Island Building, Storm Surge Non-Barrier Island Contents, Storm Surge Barrier Island Building, Storm Surge Barrier Island Contents,  Tsunami Building,  Tsunami Contents,  Great Lakes Building,  Great Lakes Contents,  Coastal Erosion Building,  Coastal Erosion Contents
AL,1.0,Yes,4.096,7.598,3.837,5.869,5.524,9.799,0.0,0.0,0.0,0.0,1.641,0.531
FL,1.0,Yes,1.914,3.558,13.827,21.6,13.06,25.884,0.0,0.0,0.0,0.0,0.365,0.116
GA,1.0,Yes,2.584,4.162,5.275,8.01,9.911,15.397,0.0,0.0,0.0,0.0,0.807,0.219
LA,1.0,Yes,3.419,5.845,14.231,21.921,0.0,0.0,0.0,0.0,0.0,0.0,1.233,0.39
MS,1.0,Yes,3.015,5.451,14.552,24.588,0.0,0.0,0.0,0.0,0.0,0.0,0.617,0.194
NC,1.0,Yes,2.853,3.804,2.477,3.798,3.706,5.545,0.0,0.0,0.0,0.0,1.638,0.459
SC,1.0,Yes,2.255,3.611,5.652,8.022,19.551,28.047,0.0,0.0,0.0,0.0,4.063,1.166
TX,1.0,Yes,2.282,3.483,9.988,15.254,7.716,12.356,0.0,0.0,0.0,0.0,1.942,0.544
CT,2.0,Yes,4.201,6.014,2.927,3.28,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.02
DC,2.0,Yes,0.473,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,2.0,Yes,2.536,4.31,0.748,1.144,2.361,3.698,0.0,0.0,0.0,0.0,0.327,0.116
MA,2.0,Yes,2.645,3.228,2.599,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.246,0.043
MD,2.0,Yes,1.001,1.314,0.286,0.407,1.416,2.087,0.0,0.0,0.0,0.0,0.002,0.001
ME,2.0,Yes,1.973,2.478,3.158,4.044,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.012
NH,2.0,Yes,3.493,4.1,2.573,2.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ,2.0,Yes,4.263,7.486,0.942,1.413,2.058,3.133,0.0,0.0,0.0,0.0,0.267,0.083
NY,2.0,Yes,2.672,3.553,1.516,2.07,3.004,3.871,0.0,0.0,1.795,0.881,0.096,0.035
PA,2.0,Yes,2.556,3.482,0.361,0.725,0.0,0.0,0.0,0.0,0.988,0.247,0.0,0.0
RI,2.0,Yes,3.15,4.046,1.27,1.554,0.0,0.0,0.0,0.0,0.0,0.0,0.227,0.064
VA,2.0,Yes,2.283,3.062,0.686,0.975,4.555,6.723,0.0,0.0,0.0,0.0,0.101,0.02
AR,3.0,Yes,3.752,7.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,3.0,Yes,2.665,4.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,3.0,Yes,2.987,3.924,0.0,0.0,0.0,0.0,0.0,0.0,2.169,1.04,0.0,0.0
IN,3.0,Yes,2.625,3.849,0.0,0.0,0.0,0.0,0.0,0.0,1.257,0.263,0.0,0.0
KS,3.0,Yes,2.607,4.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KY, WV",3.0,Yes,3.445,6.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,3.0,Yes,1.937,2.309,0.0,0.0,0.0,0.0,0.0,0.0,1.066,0.399,0.0,0.0
MN,3.0,Yes,3.649,5.089,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.098,0.0,0.0
MO,3.0,Yes,3.737,6.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,3.0,Yes,2.063,3.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,3.0,Yes,2.616,4.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,3.0,Yes,2.028,2.912,0.0,0.0,0.0,0.0,0.0,0.0,1.194,0.506,0.0,0.0
OK,3.0,Yes,3.669,6.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,3.0,Yes,2.935,5.807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,3.0,Yes,2.232,2.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VT,3.0,Yes,1.559,1.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,3.0,Yes,1.986,2.764,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.101,0.0,0.0
AZ,4.0,Yes,6.678,9.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,4.0,Yes,6.985,8.264,0.0,0.0,0.0,0.0,0.705,0.688,0.0,0.0,0.134,0.038
CO,4.0,Yes,3.908,5.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,4.0,Yes,4.45,6.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,4.0,Yes,3.154,5.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,4.0,Yes,4.567,5.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,4.0,Yes,3.853,5.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR,4.0,Yes,3.301,3.945,0.0,0.0,0.0,0.0,4.589,3.339,0.0,0.0,0.333,0.074
UT,4.0,Yes,1.65,2.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA,4.0,Yes,5.259,7.112,0.0,0.0,0.0,0.0,3.383,2.912,0.0,0.0,0.02,0.001
WY,4.0,Yes,3.822,6.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,5.0,Yes,0.237,0.335,24.119,23.112,0.0,0.0,0.319,0.277,0.0,0.0,0.0,0.0
"AS, GU, HI, MP",5.0,Yes,10.544,6.91,0.402,0.453,0.0,0.0,2.227,1.541,0.0,0.0,1.381,0.25
"PR, VI",5.0,Yes,0.761,1.243,5.102,29.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,1.0,No,8.743,6.142,7.852,12.733,20.658,14.737,0.0,0.0,0.0,0.0,0.829,1.102
FL,1.0,No,4.543,3.174,32.788,30.244,27.458,35.91,0.0,0.0,0.0,0.0,0.139,0.38
GA,1.0,No,4.337,5.713,7.278,11.922,20.714,19.744,0.0,0.0,0.0,0.0,0.257,0.308
LA,1.0,No,4.621,6.657,20.42,45.644,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.381
MS,1.0,No,4.237,5.461,29.514,42.684,0.0,0.0,0.0,0.0,0.0,0.0,1.806,0.999
NC,1.0,No,4.922,6.184,5.191,7.282,8.017,8.75,0.0,0.0,0.0,0.0,0.985,0.566
SC,1.0,No,5.04,3.948,14.365,16.405,55.344,41.028,0.0,0.0,0.0,0.0,1.072,2.646
TX,1.0,No,3.915,4.936,14.114,25.446,22.825,31.995,0.0,0.0,0.0,0.0,0.475,0.413
CT,2.0,No,6.184,6.996,3.517,3.614,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.022
DC,2.0,No,4.878,6.139,0.31,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,2.0,No,7.127,5.491,1.178,1.141,5.745,6.112,0.0,0.0,0.0,0.0,0.126,0.163
MA,2.0,No,6.934,5.194,5.906,4.011,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.044
MD,2.0,No,4.577,4.234,0.634,0.492,5.574,4.552,0.0,0.0,0.0,0.0,0.004,0.015
ME,2.0,No,10.077,5.629,9.059,7.823,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.018
NH,2.0,No,3.68,6.112,5.395,4.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NJ,2.0,No,11.131,7.445,8.742,4.873,5.365,4.541,0.0,0.0,0.0,0.0,0.175,0.184
NY,2.0,No,6.686,5.442,4.654,3.918,4.746,5.521,0.0,0.0,6.826,1.723,0.074,0.042
PA,2.0,No,4.364,5.338,13.179,1.191,0.0,0.0,0.0,0.0,65.844,20.254,0.0,0.0
RI,2.0,No,4.591,6.991,1.515,1.733,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.123
VA,2.0,No,5.61,6.949,1.635,1.638,6.359,5.255,0.0,0.0,0.0,0.0,0.053,0.028
AR,3.0,No,4.377,7.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,3.0,No,4.164,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,3.0,No,8.402,7.366,0.0,0.0,0.0,0.0,0.0,0.0,65.86,20.272,0.0,0.0
IN,3.0,No,3.885,4.119,0.0,0.0,0.0,0.0,0.0,0.0,1.901,0.172,0.0,0.0
KS,3.0,No,3.216,5.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KY, WV",3.0,No,5.82,11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MI,3.0,No,3.505,3.815,0.0,0.0,0.0,0.0,0.0,0.0,2.765,1.367,0.0,0.0
MN,3.0,No,4.549,7.409,0.0,0.0,0.0,0.0,0.0,0.0,1.054,0.414,0.0,0.0
MO,3.0,No,7.301,13.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,3.0,No,4.532,7.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,3.0,No,4.225,7.638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,3.0,No,3.34,4.911,0.0,0.0,0.0,0.0,0.0,0.0,5.96,0.685,0.0,0.0
OK,3.0,No,4.521,7.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,3.0,No,3.866,5.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,3.0,No,4.182,5.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VT,3.0,No,2.0,2.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,3.0,No,2.26,3.625,0.0,0.0,0.0,0.0,0.0,0.0,0.837,0.108,0.0,0.0
AZ,4.0,No,8.05,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA,4.0,No,7.152,8.096,0.0,0.0,0.0,0.0,1.478,1.825,0.0,0.0,0.101,0.033
CO,4.0,No,7.104,8.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID,4.0,No,8.373,10.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,4.0,No,4.461,6.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NM,4.0,No,6.797,4.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NV,4.0,No,7.191,6.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OR,4.0,No,6.112,6.864,0.0,0.0,0.0,0.0,16.733,9.42,0.0,0.0,0.005,0.007
UT,4.0,No,3.55,3.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WA,4.0,No,9.192,12.454,0.0,0.0,0.0,0.0,11.916,13.455,0.0,0.0,0.053,0.0
WY,4.0,No,4.665,10.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,5.0,No,0.526,1.376,80.085,48.508,0.0,0.0,0.416,0.478,0.0,0.0,0.044,0.049
"AS, GU, HI, MP",5.0,No,3.596,2.686,2.302,80.539,0.0,0.0,14.431,82.11,0.0,0.0,0.166,0.811
"PR, VI",5.0,No,0.952,0.939,80.085,48.508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
