Building Value,"All Perils, Excluding Coastal Erosion"
100,7.071
200,5.946
300,5.373
400,5.0
500,4.729
600,4.518
700,4.347
800,4.204
900,4.082
1000,3.976
2000,3.344
3000,3.021
4000,2.812
5000,2.659
6000,2.541
7000,2.445
8000,2.364
9000,2.296
10000,2.236
11000,2.183
12000,2.136
13000,2.094
14000,2.056
15000,2.021
16000,1.988
17000,1.958
18000,1.93
19000,1.905
20000,1.88
21000,1.858
22000,1.836
23000,1.816
24000,1.797
25000,1.778
26000,1.761
27000,1.744
28000,1.729
29000,1.714
30000,1.699
31000,1.685
32000,1.672
33000,1.659
34000,1.647
35000,1.635
36000,1.623
37000,1.612
38000,1.602
39000,1.591
40000,1.581
41000,1.571
42000,1.562
43000,1.553
44000,1.544
45000,1.535
46000,1.527
47000,1.519
48000,1.511
49000,1.503
50000,1.495
55000,1.46
60000,1.429
65000,1.4
70000,1.375
75000,1.351
80000,1.33
85000,1.31
90000,1.291
95000,1.274
100000,1.257
105000,1.242
110000,1.228
115000,1.214
120000,1.201
125000,1.189
130000,1.178
135000,1.167
140000,1.156
145000,1.146
150000,1.136
160000,1.118
170000,1.101
180000,1.086
190000,1.071
200000,1.057
210000,1.045
220000,1.032
230000,1.021
240000,1.01
250000,1.0
260000,0.99
270000,0.981
280000,0.972
290000,0.964
300000,0.955
325000,0.937
350000,0.919
375000,0.904
400000,0.889
425000,0.876
450000,0.863
475000,0.852
500000,0.841
550000,0.821
600000,0.803
650000,0.788
700000,0.773
750000,0.76
800000,0.748
850000,0.736
900000,0.726
950000,0.716
1000000,0.707
1100000,0.69
1200000,0.676
1300000,0.662
1400000,0.65
1500000,0.639
1750000,0.615
2000000,0.595
2250000,0.577
2500000,0.562
2750000,0.549
3000000,0.537
3250000,0.527
3500000,0.517
4000000,0.5
4500000,0.485
5000000,0.473
5500000,0.462
6000000,0.452
7000000,0.435
8000000,0.42
9000000,0.408
10000000,0.398
12500000,0.376
15000000,0.359
17500000,0.346
20000000,0.334
25000000,0.316
30000000,0.302
35000000,0.291
40000000,0.281
50000000,0.266
60000000,0.254
70000000,0.244
80000000,0.236
90000000,0.23
100000000,0.224
125000000,0.211
150000000,0.202
175000000,0.194
200000000,0.188
250000000,0.178
300000000,0.17
350000000,0.163
400000000,0.158
450000000,0.154
500000000,0.15
600000000,0.143
700000000,0.137
800000000,0.133
900000000,0.129
1000000000,0.126
