State,County,Concentration Risk Territory
Alabama,Autauga County,H4
Alabama,Baldwin County,C31
Alabama,Barbour County,H4
Alabama,Bibb County,H4
Alabama,Blount County,H4
Alabama,Bullock County,H4
Alabama,Butler County,H4
Alabama,Calhoun County,H4
Alabama,Chambers County,H4
Alabama,Cherokee County,H4
Alabama,Chilton County,H4
Alabama,Choctaw County,H4
Alabama,Clarke County,H4
Alabama,Clay County,H4
Alabama,Cleburne County,H4
Alabama,Coffee County,H4
Alabama,Colbert County,H16
Alabama,Conecuh County,H4
Alabama,Coosa County,H4
Alabama,Covington County,H4
Alabama,Crenshaw County,H4
Alabama,Cullman County,H4
Alabama,Dale County,H4
Alabama,Dallas County,H4
Alabama,DeKalb County,H16
Alabama,Elmore County,H4
Alabama,Escambia County,C30
Alabama,Etowah County,H4
Alabama,Fayette County,H4
Alabama,Franklin County,H16
Alabama,Geneva County,H4
Alabama,Greene County,H4
Alabama,Hale County,H4
Alabama,Henry County,H4
Alabama,Houston County,H4
Alabama,Jackson County,H16
Alabama,Jefferson County,H4
Alabama,Lamar County,H4
Alabama,Lauderdale County,H16
Alabama,Lawrence County,H16
Alabama,Lee County,H4
Alabama,Limestone County,H16
Alabama,Lowndes County,H4
Alabama,Macon County,H4
Alabama,Madison County,H16
Alabama,Marengo County,H4
Alabama,Marion County,H4
Alabama,Marshall County,H16
Alabama,Mobile County,C31
Alabama,Monroe County,H4
Alabama,Montgomery County,H4
Alabama,Morgan County,H16
Alabama,Perry County,H4
Alabama,Pickens County,H4
Alabama,Pike County,H4
Alabama,Randolph County,H4
Alabama,Russell County,H4
Alabama,St. Clair County,H4
Alabama,Shelby County,H4
Alabama,Sumter County,H4
Alabama,Talladega County,H4
Alabama,Tallapoosa County,H4
Alabama,Tuscaloosa County,H4
Alabama,Walker County,H4
Alabama,Washington County,H4
Alabama,Wilcox County,H4
Alabama,Winston County,H4
Alaska,Aleutians East Borough,H19
Alaska,Aleutians West Census Area,H19
Alaska,Anchorage Municipality,H19
Alaska,Bethel Census Area,H19
Alaska,Bristol Bay Borough,H19
Alaska,Denali Borough,H19
Alaska,Dillingham Census Area,H19
Alaska,Fairbanks North Star Borough,H19
