Region,Distance to Coast (meters),Storm Surge,Tsunami
Segment 1,0.0,2.36,1.0
Segment 1,5.0,2.36,1.0
Segment 1,10.0,2.36,1.0
Segment 1,15.0,2.36,1.0
Segment 1,20.0,2.36,1.0
Segment 1,25.0,2.36,1.0
Segment 1,30.0,2.36,1.0
Segment 1,35.0,2.36,1.0
Segment 1,40.0,2.36,1.0
Segment 1,45.0,2.36,1.0
Segment 1,50.0,2.36,1.0
Segment 1,60.0,2.306,1.0
Segment 1,70.0,2.208,1.0
Segment 1,80.0,2.121,1.0
Segment 1,90.0,2.051,1.0
Segment 1,100.0,1.991,1.0
Segment 1,125.0,1.844,1.0
Segment 1,150.0,1.701,1.0
Segment 1,175.0,1.588,1.0
Segment 1,200.0,1.5,1.0
Segment 1,250.0,1.361,1.0
Segment 1,300.0,1.253,1.0
Segment 1,350.0,1.171,1.0
Segment 1,400.0,1.105,1.0
Segment 1,450.0,1.047,1.0
Segment 1,500.0,1.0,1.0
Segment 1,600.0,0.921,1.0
Segment 1,700.0,0.843,1.0
Segment 1,800.0,0.756,1.0
Segment 1,900.0,0.686,1.0
Segment 1,1000.0,0.628,1.0
Segment 1,1100.0,0.611,1.0
Segment 1,1200.0,0.597,1.0
Segment 1,1300.0,0.583,1.0
Segment 1,1400.0,0.571,1.0
Segment 1,1500.0,0.56,1.0
Segment 1,1750.0,0.536,1.0
Segment 1,2000.0,0.516,1.0
Segment 1,2250.0,0.499,1.0
Segment 1,2500.0,0.485,1.0
Segment 1,2750.0,0.471,1.0
Segment 1,3000.0,0.457,1.0
Segment 1,3250.0,0.417,1.0
Segment 1,3500.0,0.384,1.0
Segment 1,3750.0,0.356,1.0
Segment 1,4000.0,0.33,1.0
Segment 1,4250.0,0.308,1.0
Segment 1,4500.0,0.289,1.0
Segment 1,4750.0,0.272,1.0
Segment 1,5000.0,0.257,1.0
Segment 1,5500.0,0.23,1.0
Segment 1,6000.0,0.209,1.0
Segment 1,6500.0,0.191,1.0
Segment 1,7000.0,0.176,1.0
Segment 1,7500.0,0.162,1.0
Segment 1,8000.0,0.151,1.0
Segment 1,9000.0,0.147,1.0
Segment 1,10000.0,0.145,1.0
Segment 1,11000.0,0.144,1.0
Segment 2,0.0,7.763,1.0
Segment 2,10.0,7.763,1.0
Segment 2,20.0,7.102,1.0
Segment 2,30.0,6.413,1.0
Segment 2,40.0,6.162,1.0
Segment 2,50.0,5.963,1.0
Segment 2,60.0,5.815,1.0
Segment 2,70.0,5.696,1.0
Segment 2,80.0,5.588,1.0
Segment 2,90.0,5.499,1.0
Segment 2,100.0,5.42,1.0
Segment 2,110.0,5.341,1.0
Segment 2,120.0,5.281,1.0
Segment 2,130.0,5.22,1.0
Segment 2,140.0,4.976,1.0
Segment 2,150.0,4.619,1.0
Segment 2,160.0,4.258,1.0
Segment 2,170.0,3.943,1.0
Segment 2,180.0,3.665,1.0
Segment 2,190.0,3.419,1.0
Segment 2,200.0,3.203,1.0
Segment 2,210.0,3.014,1.0
Segment 2,220.0,2.839,1.0
Segment 2,230.0,2.681,1.0
Segment 2,240.0,2.539,1.0
Segment 2,250.0,2.413,1.0
Segment 2,275.0,2.14,1.0
Segment 2,300.0,1.914,1.0
Segment 2,325.0,1.73,1.0
Segment 2,350.0,1.573,1.0
Segment 2,375.0,1.44,1.0
Segment 2,400.0,1.329,1.0
Segment 2,425.0,1.23,1.0
Segment 2,450.0,1.142,1.0
Segment 2,475.0,1.068,1.0
Segment 2,500.0,1.0,1.0
Segment 2,550.0,0.88,1.0
Segment 2,600.0,0.739,1.0
Segment 2,650.0,0.628,1.0
Segment 2,700.0,0.541,1.0
Segment 2,750.0,0.47,1.0
Segment 2,800.0,0.413,1.0
Segment 2,850.0,0.366,1.0
Segment 2,900.0,0.327,1.0
Segment 2,950.0,0.293,1.0
Segment 2,1000.0,0.264,1.0
Segment 2,1100.0,0.247,1.0
Segment 2,1200.0,0.23,1.0
Segment 2,1300.0,0.216,1.0
Segment 2,1400.0,0.203,1.0
Segment 2,1500.0,0.191,1.0
Segment 2,1600.0,0.176,1.0
Segment 2,1700.0,0.164,1.0
Segment 2,1800.0,0.164,1.0
Segment 2,1900.0,0.164,1.0
Segment 2,2000.0,0.164,1.0
Segment 2,2250.0,0.164,1.0
Segment 2,2500.0,0.164,1.0
Segment 2,2750.0,0.164,1.0
Segment 2,3000.0,0.164,1.0
Segment 2,3250.0,0.164,1.0
Segment 2,3500.0,0.164,1.0
AK,0.0,5.552,12.572
AK,5.0,5.552,12.572
AK,10.0,4.787,12.572
AK,15.0,3.929,11.696
AK,20.0,3.413,8.052
