Region,Distance to River (meters),Inland Flood
Segment 1,0.0,1.082
Segment 1,10.0,1.082
Segment 1,20.0,1.082
Segment 1,30.0,1.082
Segment 1,40.0,1.082
Segment 1,50.0,1.082
Segment 1,60.0,1.082
Segment 1,70.0,1.082
Segment 1,80.0,1.082
Segment 1,90.0,1.082
Segment 1,100.0,1.082
Segment 1,125.0,1.05
Segment 1,150.0,1.025
Segment 1,175.0,1.011
Segment 1,200.0,1.0
Segment 1,250.0,0.981
Segment 1,300.0,0.966
Segment 1,350.0,0.953
Segment 1,400.0,0.942
Segment 1,450.0,0.933
Segment 1,500.0,0.925
Segment 1,600.0,0.911
Segment 1,700.0,0.9
Segment 1,800.0,0.891
Segment 1,900.0,0.885
Segment 1,1000.0,0.881
Segment 1,1250.0,0.881
Segment 1,1500.0,0.881
Segment 1,1750.0,0.881
Segment 1,2000.0,0.881
Segment 1,2500.0,0.881
Segment 1,3000.0,0.881
Segment 1,3500.0,0.881
Segment 1,4000.0,0.881
Segment 1,4500.0,0.881
Segment 1,5000.0,0.881
Segment 1,5500.0,0.881
Segment 1,6000.0,0.881
Segment 1,6500.0,0.881
Segment 1,7000.0,0.881
Segment 1,7500.0,0.881
Segment 1,8000.0,0.881
Segment 1,8500.0,0.881
Segment 1,9000.0,0.881
Segment 1,9500.0,0.881
Segment 1,10000.0,0.881
Segment 1,10500.0,0.881
Segment 1,11000.0,0.881
Segment 1,11500.0,0.881
Segment 1,12000.0,0.881
Segment 1,12500.0,0.881
Segment 1,13000.0,0.881
Segment 1,13500.0,0.881
Segment 2,0.0,1.094
Segment 2,5.0,1.094
Segment 2,10.0,1.094
Segment 2,15.0,1.094
Segment 2,20.0,1.094
Segment 2,25.0,1.094
Segment 2,30.0,1.094
Segment 2,35.0,1.094
Segment 2,40.0,1.094
Segment 2,45.0,1.094
Segment 2,50.0,1.094
Segment 2,60.0,1.094
Segment 2,70.0,1.094
Segment 2,80.0,1.094
Segment 2,90.0,1.094
Segment 2,100.0,1.094
Segment 2,110.0,1.071
Segment 2,120.0,1.051
Segment 2,130.0,1.032
Segment 2,140.0,1.018
Segment 2,150.0,1.008
Segment 2,200.0,1.0
Segment 2,250.0,0.994
Segment 2,300.0,0.989
Segment 2,350.0,0.985
Segment 2,400.0,0.981
Segment 2,450.0,0.978
Segment 2,500.0,0.976
Segment 2,600.0,0.971
Segment 2,700.0,0.967
Segment 2,800.0,0.963
Segment 2,900.0,0.96
Segment 2,1000.0,0.958
Segment 2,1100.0,0.958
Segment 2,1200.0,0.958
Segment 2,1300.0,0.958
Segment 2,1400.0,0.958
Segment 2,1500.0,0.958
