Deductible to Coverage Value Ratio,Inland Flood,"Storm Surge, Tsunami, Great Lakes, and Coastal Erosion"
1e-06,0.001,0.001
0.0025,0.033,0.026
0.005,0.045,0.035
0.0075,0.054,0.042
0.01,0.061,0.047
0.02,0.117,0.09
0.03,0.148,0.125
0.04,0.18,0.16
0.05,0.211,0.196
0.06,0.243,0.231
0.07,0.274,0.267
0.08,0.306,0.302
0.09,0.338,0.338
0.1,0.369,0.373
0.11,0.376,0.38
0.12,0.383,0.387
0.13,0.39,0.394
0.14,0.397,0.401
0.15,0.404,0.408
0.16,0.411,0.415
0.17,0.418,0.422
0.18,0.425,0.429
0.19,0.432,0.436
0.2,0.439,0.443
0.21,0.446,0.449
0.22,0.453,0.456
0.23,0.46,0.463
0.24,0.467,0.47
0.25,0.474,0.477
0.26,0.481,0.484
0.27,0.488,0.491
0.28,0.495,0.498
0.29,0.502,0.505
0.3,0.509,0.512
0.31,0.517,0.519
0.32,0.523,0.526
0.33,0.53,0.533
0.34,0.537,0.54
0.35,0.544,0.547
0.36,0.551,0.554
0.37,0.558,0.561
0.38,0.565,0.568
0.39,0.572,0.575
0.4,0.58,0.582
0.41,0.586,0.589
0.42,0.594,0.596
0.43,0.6,0.603
0.44,0.607,0.61
0.45,0.615,0.617
0.46,0.621,0.624
0.47,0.629,0.631
0.48,0.635,0.638
0.49,0.642,0.645
0.5,0.65,0.652
0.51,0.656,0.659
0.52,0.664,0.666
0.53,0.67,0.672
0.54,0.677,0.679
0.55,0.685,0.686
0.56,0.692,0.693
0.57,0.698,0.7
0.58,0.706,0.707
0.59,0.713,0.714
0.6,0.72,0.721
0.61,0.727,0.728
0.62,0.733,0.735
0.63,0.741,0.742
0.64,0.748,0.749
0.65,0.755,0.756
0.66,0.762,0.763
0.67,0.768,0.77
0.68,0.776,0.777
0.69,0.783,0.784
0.7,0.79,0.791
0.71,0.797,0.798
0.72,0.804,0.805
0.73,0.811,0.812
0.74,0.818,0.819
0.75,0.825,0.826
0.76,0.832,0.833
0.77,0.839,0.84
0.78,0.846,0.847
0.79,0.853,0.854
0.8,0.86,0.861
0.81,0.867,0.868
0.82,0.874,0.875
0.83,0.881,0.882
0.84,0.888,0.889
0.85,0.895,0.895
0.86,0.902,0.902
0.87,0.909,0.909
0.88,0.916,0.916
0.89,0.923,0.923
0.9,0.93,0.93
0.91,0.937,0.937
0.92,0.944,0.944
0.93,0.951,0.951
0.94,0.958,0.958
0.95,0.965,0.965
0.96,0.972,0.972
0.97,0.979,0.979
0.98,0.986,0.986
0.99,0.993,0.993
1,1.0,1.0
