Deductible & Limit to Coverage Value Ratio,Inland Flood,"Storm Surge, Tsunami, Great Lakes, and Coastal Erosion"
1e-06,0.001,0.001
0.0025,0.027,0.024
0.005,0.037,0.032
0.0075,0.043,0.038
0.01,0.049,0.043
0.02,0.097,0.087
0.03,0.146,0.13
0.04,0.195,0.174
0.05,0.244,0.22
0.06,0.282,0.261
0.07,0.315,0.298
0.08,0.344,0.331
0.09,0.37,0.36
0.1,0.395,0.388
0.11,0.415,0.415
0.12,0.433,0.44
0.13,0.451,0.462
0.14,0.467,0.484
0.15,0.482,0.503
0.16,0.497,0.521
0.17,0.511,0.538
0.18,0.524,0.555
0.19,0.537,0.57
0.2,0.549,0.584
0.21,0.561,0.598
0.22,0.573,0.612
0.23,0.584,0.624
0.24,0.595,0.636
0.25,0.605,0.648
0.26,0.616,0.659
0.27,0.626,0.67
0.28,0.635,0.68
0.29,0.645,0.69
0.3,0.654,0.7
0.31,0.663,0.709
0.32,0.673,0.717
0.33,0.681,0.726
0.34,0.69,0.735
0.35,0.698,0.743
0.36,0.707,0.751
0.37,0.715,0.759
0.38,0.723,0.766
0.39,0.731,0.774
0.4,0.739,0.781
0.41,0.746,0.788
0.42,0.754,0.794
0.43,0.761,0.801
0.44,0.769,0.808
0.45,0.776,0.814
0.46,0.782,0.821
0.47,0.787,0.827
0.48,0.793,0.833
0.49,0.799,0.839
0.5,0.804,0.844
0.51,0.809,0.849
0.52,0.813,0.853
0.53,0.818,0.857
0.54,0.823,0.861
0.55,0.827,0.865
0.56,0.832,0.869
0.57,0.837,0.873
0.58,0.841,0.877
0.59,0.846,0.881
0.6,0.851,0.885
0.61,0.854,0.888
0.62,0.858,0.89
0.63,0.862,0.893
0.64,0.865,0.896
0.65,0.869,0.898
0.66,0.873,0.901
0.67,0.877,0.905
0.68,0.881,0.907
0.69,0.884,0.91
0.7,0.888,0.913
0.71,0.891,0.916
0.72,0.895,0.919
0.73,0.899,0.922
0.74,0.903,0.925
0.75,0.907,0.927
0.76,0.91,0.931
0.77,0.914,0.934
0.78,0.918,0.936
0.79,0.921,0.939
0.8,0.925,0.942
0.81,0.929,0.945
0.82,0.933,0.948
0.83,0.936,0.951
0.84,0.94,0.953
0.85,0.944,0.956
0.86,0.948,0.96
0.87,0.952,0.962
0.88,0.955,0.965
0.89,0.959,0.968
0.9,0.963,0.971
0.91,0.967,0.974
0.92,0.97,0.977
0.93,0.974,0.98
0.94,0.978,0.983
0.95,0.981,0.985
0.96,0.985,0.988
0.97,0.989,0.991
0.98,0.993,0.994
0.99,0.996,0.997
1,1.0,1.0
