Drainage Area (km2),Inland Flood Fluvial,Inland Flood Pluvial
0,1.0,1.0
1,1.0,1.0
2,1.0,1.0
3,1.0,1.0
4,1.0,1.0
5,1.0,1.0
6,1.0,1.0
7,1.0,1.0
8,1.0,1.0
9,1.0,1.0
10,1.0,1.0
15,1.0,1.0
20,1.0,1.0
25,1.0,1.0
30,1.0,1.0
40,1.0,1.0
50,1.0,1.0
60,1.0,1.0
70,1.0,1.0
80,1.0,1.0
90,1.0,1.0
100,1.0,1.0
150,1.0,1.0
200,1.0,1.0
300,1.0,1.0
400,1.0,1.0
500,1.0,1.0
700,1.0,1.0
900,1.0,1.0
1100,1.0,1.0
1300,1.0,1.0
1500,1.0,1.0
2000,1.0,1.0
2500,1.0,1.0
3000,1.0,1.0
3500,1.0,1.0
4000,1.0,1.0
4500,1.0,1.0
5000,1.0,1.0
5500,1.0,1.0
6000,1.0,1.0
6500,1.0,1.0
7000,1.0,1.0
8000,1.0,1.0
9000,1.0,1.0
10000,1.0,1.0
11000,1.0,1.0
13000,1.0,1.0
15000,1.0,1.0
17000,1.0,1.0
19000,1.0,1.0
21000,1.0,1.0
23000,1.0,1.0
