River Class,Elevation Relative to River (feet),Inland Flood Fluvial,Inland Flood Pluvial
Class A,-11.0,0.432,0.817
Class A,-10.0,0.432,0.817
Class A,-9.0,0.42,0.817
Class A,-8.0,0.409,0.817
Class A,-7.0,0.397,0.817
Class A,-6.0,0.386,0.817
Class A,-5.0,0.376,0.817
Class A,-4.0,0.365,0.817
Class A,-3.0,0.355,0.817
Class A,-2.0,0.346,0.817
Class A,-1.0,0.336,0.817
Class A,0.0,0.327,0.817
Class A,1.0,0.317,0.762
Class A,2.0,0.307,0.711
Class A,3.0,0.298,0.664
Class A,4.0,0.289,0.619
Class A,5.0,0.287,0.578
Class A,6.0,0.287,0.539
Class A,7.0,0.287,0.503
Class A,8.0,0.287,0.469
Class A,9.0,0.287,0.447
Class A,10.0,0.287,0.447
Class A,12.0,0.287,0.447
Class A,14.0,0.287,0.447
Class A,16.0,0.287,0.447
Class A,18.0,0.287,0.447
Class A,20.0,0.287,0.447
Class A,22.0,0.287,0.447
Class A,24.0,0.287,0.447
Class A,26.0,0.287,0.447
Class A,28.0,0.287,0.447
Class A,30.0,0.287,0.447
Class A,32.0,0.287,0.447
Class A,34.0,0.287,0.447
Class A,36.0,0.287,0.447
Class A,38.0,0.287,0.447
Class A,40.0,0.287,0.447
Class A,42.0,0.287,0.447
Class A,44.0,0.287,0.447
Class A,46.0,0.287,0.447
Class A,48.0,0.287,0.447
Class A,50.0,0.287,0.447
Class B,-11.0,0.579,0.995
Class B,-10.0,0.579,0.995
Class B,-9.0,0.563,0.995
Class B,-8.0,0.548,0.995
Class B,-7.0,0.533,0.995
Class B,-6.0,0.518,0.995
Class B,-5.0,0.504,0.995
Class B,-4.0,0.49,0.995
Class B,-3.0,0.476,0.995
Class B,-2.0,0.463,0.995
Class B,-1.0,0.451,0.995
Class B,0.0,0.438,0.995
Class B,1.0,0.425,0.928
Class B,2.0,0.412,0.866
Class B,3.0,0.399,0.808
Class B,4.0,0.387,0.754
Class B,5.0,0.376,0.704
Class B,6.0,0.364,0.657
Class B,7.0,0.353,0.613
Class B,8.0,0.342,0.572
Class B,9.0,0.332,0.533
Class B,10.0,0.322,0.498
Class B,12.0,0.303,0.453
Class B,14.0,0.287,0.447
Class B,16.0,0.287,0.447
Class B,18.0,0.287,0.447
Class B,20.0,0.287,0.447
Class B,22.0,0.287,0.447
Class B,24.0,0.287,0.447
Class B,26.0,0.287,0.447
Class B,28.0,0.287,0.447
Class B,30.0,0.287,0.447
Class B,32.0,0.287,0.447
Class B,34.0,0.287,0.447
Class B,36.0,0.287,0.447
Class B,38.0,0.287,0.447
Class B,40.0,0.287,0.447
Class B,42.0,0.287,0.447
Class B,44.0,0.287,0.447
Class B,46.0,0.287,0.447
Class B,48.0,0.287,0.447
Class B,50.0,0.287,0.447
Class C,-11.0,0.71,1.11
Class C,-10.0,0.71,1.11
Class C,-9.0,0.691,1.11
Class C,-8.0,0.672,1.11
Class C,-7.0,0.653,1.11
Class C,-6.0,0.635,1.11
Class C,-5.0,0.618,1.11
Class C,-4.0,0.601,1.11
Class C,-3.0,0.584,1.11
Class C,-2.0,0.568,1.11
Class C,-1.0,0.552,1.11
Class C,0.0,0.537,1.11
Class C,1.0,0.521,1.036
Class C,2.0,0.505,0.967
Class C,3.0,0.49,0.902
Class C,4.0,0.475,0.842
Class C,5.0,0.461,0.785
Class C,6.0,0.447,0.733
Class C,7.0,0.433,0.684
Class C,8.0,0.42,0.638
Class C,9.0,0.407,0.595
Class C,10.0,0.395,0.556
Class C,12.0,0.371,0.506
Class C,14.0,0.349,0.461
Class C,16.0,0.328,0.447
Class C,18.0,0.309,0.447
Class C,20.0,0.29,0.447
Class C,22.0,0.287,0.447
Class C,24.0,0.287,0.447
Class C,26.0,0.287,0.447
Class C,28.0,0.287,0.447
Class C,30.0,0.287,0.447
Class C,32.0,0.287,0.447
Class C,34.0,0.287,0.447
Class C,36.0,0.287,0.447
Class C,38.0,0.287,0.447
Class C,40.0,0.287,0.447
Class C,42.0,0.287,0.447
Class C,44.0,0.287,0.447
Class C,46.0,0.287,0.447
Class C,48.0,0.287,0.447
Class C,50.0,0.287,0.447
Class D,-11.0,0.802,1.137
Class D,-10.0,0.802,1.137
Class D,-9.0,0.78,1.137
Class D,-8.0,0.758,1.137
Class D,-7.0,0.737,1.137
Class D,-6.0,0.717,1.137
Class D,-5.0,0.697,1.137
Class D,-4.0,0.678,1.137
Class D,-3.0,0.659,1.137
