River Class,Elevation Relative to River (feet),Inland Flood Segment 1,Inland Flood Segment 2,Inland Flood Segment 3,Inland Flood Segment 4
Class A,-5.0,0.686,0.659,0.581,0.624
Class A,-4.0,0.686,0.659,0.581,0.624
Class A,-3.0,0.677,0.659,0.578,0.62
Class A,-2.0,0.666,0.659,0.572,0.612
Class A,-1.0,0.655,0.659,0.567,0.606
Class A,0.0,0.646,0.659,0.563,0.599
Class A,1.0,0.602,0.626,0.528,0.578
Class A,2.0,0.564,0.596,0.497,0.559
Class A,3.0,0.531,0.569,0.47,0.54
Class A,4.0,0.501,0.546,0.446,0.524
Class A,5.0,0.476,0.525,0.424,0.511
Class A,6.0,0.452,0.506,0.405,0.497
Class A,7.0,0.432,0.489,0.389,0.485
Class A,8.0,0.413,0.473,0.373,0.474
Class A,9.0,0.396,0.458,0.358,0.464
Class A,10.0,0.384,0.44,0.349,0.454
Class A,11.0,0.373,0.424,0.342,0.445
Class A,12.0,0.363,0.41,0.335,0.437
Class A,13.0,0.361,0.396,0.329,0.429
Class A,14.0,0.361,0.383,0.322,0.422
Class A,15.0,0.361,0.371,0.316,0.415
Class A,16.0,0.361,0.361,0.311,0.407
Class A,17.0,0.361,0.351,0.305,0.401
Class A,18.0,0.361,0.341,0.3,0.395
Class A,19.0,0.361,0.332,0.295,0.39
Class A,20.0,0.361,0.322,0.292,0.385
Class A,21.0,0.361,0.315,0.286,0.379
Class A,22.0,0.361,0.307,0.283,0.374
Class A,23.0,0.361,0.3,0.279,0.37
Class A,24.0,0.361,0.293,0.277,0.365
Class A,25.0,0.361,0.286,0.277,0.361
Class A,26.0,0.361,0.279,0.277,0.356
Class A,27.0,0.361,0.274,0.277,0.352
Class A,28.0,0.361,0.268,0.277,0.348
Class A,29.0,0.361,0.267,0.277,0.345
Class A,30.0,0.361,0.267,0.277,0.341
Class A,35.0,0.361,0.267,0.277,0.326
Class A,40.0,0.361,0.267,0.277,0.311
Class A,45.0,0.361,0.267,0.277,0.306
Class B,-5.0,0.786,0.81,0.685,0.773
Class B,-4.0,0.786,0.81,0.685,0.773
Class B,-3.0,0.784,0.81,0.684,0.771
Class B,-2.0,0.78,0.81,0.682,0.769
Class B,-1.0,0.777,0.81,0.681,0.768
Class B,0.0,0.775,0.81,0.68,0.766
Class B,1.0,0.718,0.754,0.63,0.728
Class B,2.0,0.668,0.705,0.587,0.695
Class B,3.0,0.625,0.663,0.55,0.665
Class B,4.0,0.587,0.626,0.517,0.639
Class B,5.0,0.554,0.593,0.488,0.615
Class B,6.0,0.525,0.564,0.463,0.594
Class B,7.0,0.498,0.539,0.439,0.574
Class B,8.0,0.475,0.515,0.42,0.556
Class B,9.0,0.453,0.494,0.401,0.54
Class B,10.0,0.437,0.473,0.39,0.526
Class B,11.0,0.422,0.455,0.379,0.512
Class B,12.0,0.409,0.438,0.37,0.5
Class B,13.0,0.396,0.422,0.362,0.489
Class B,14.0,0.384,0.407,0.355,0.478
Class B,15.0,0.373,0.394,0.346,0.468
Class B,16.0,0.363,0.382,0.341,0.458
Class B,17.0,0.361,0.37,0.333,0.45
Class B,18.0,0.361,0.359,0.327,0.441
Class B,19.0,0.361,0.348,0.321,0.433
Class B,20.0,0.361,0.339,0.316,0.425
Class B,21.0,0.361,0.33,0.31,0.418
Class B,22.0,0.361,0.321,0.305,0.411
Class B,23.0,0.361,0.313,0.3,0.405
Class B,24.0,0.361,0.305,0.295,0.398
Class B,25.0,0.361,0.298,0.292,0.392
Class B,26.0,0.361,0.292,0.286,0.387
Class B,27.0,0.361,0.285,0.283,0.381
Class B,28.0,0.361,0.277,0.279,0.376
Class B,29.0,0.361,0.272,0.277,0.371
