Region,Elevation (feet),Inland Flood Fluvial,Inland Flood Pluvial,Storm Surge
LA,-6.0,4.814,1.638,1.191
LA,-5.0,4.814,1.477,1.191
LA,-4.0,3.788,1.282,1.191
LA,-3.0,2.98,1.113,1.191
LA,-2.0,2.345,1.074,1.191
LA,-1.0,1.531,1.036,1.191
LA,0.0,1.0,1.0,1.191
LA,1.0,0.83,0.931,1.15
LA,2.0,0.689,0.867,1.111
LA,3.0,0.572,0.808,1.072
LA,4.0,0.474,0.78,1.036
LA,5.0,0.394,0.752,1.0
LA,6.0,0.327,0.726,0.966
LA,7.0,0.327,0.701,0.932
LA,8.0,0.327,0.676,0.9
LA,9.0,0.327,0.652,0.869
LA,10.0,0.327,0.652,0.84
LA,11.0,0.327,0.652,0.811
LA,12.0,0.327,0.652,0.783
LA,13.0,0.327,0.652,0.756
LA,14.0,0.327,0.652,0.421
LA,15.0,0.327,0.652,0.234
LA,16.0,0.327,0.652,0.131
LA,17.0,0.327,0.652,0.073
LA,18.0,0.327,0.652,0.04
LA,19.0,0.327,0.652,0.023
LA,20.0,0.327,0.652,0.023
LA,21.0,0.327,0.652,0.023
LA,22.0,0.327,0.652,0.023
LA,23.0,0.327,0.652,0.023
LA,24.0,0.327,0.652,0.023
LA,25.0,0.327,0.652,0.023
Non-LA,-6.0,1.0,1.0,1.088
Non-LA,-5.0,1.0,1.0,1.088
Non-LA,-4.0,1.0,1.0,1.088
Non-LA,-3.0,1.0,1.0,1.088
Non-LA,-2.0,1.0,1.0,1.088
Non-LA,-1.0,1.0,1.0,1.088
Non-LA,0.0,1.0,1.0,1.088
Non-LA,1.0,1.0,1.0,1.088
Non-LA,2.0,1.0,1.0,1.088
Non-LA,3.0,1.0,1.0,1.088
Non-LA,4.0,1.0,1.0,1.053
Non-LA,5.0,1.0,1.0,1.0
Non-LA,6.0,1.0,1.0,0.949
Non-LA,7.0,1.0,1.0,0.901
Non-LA,8.0,1.0,1.0,0.856
Non-LA,9.0,1.0,1.0,0.846
Non-LA,10.0,1.0,1.0,0.836
Non-LA,11.0,1.0,1.0,0.826
Non-LA,12.0,1.0,1.0,0.816
Non-LA,13.0,1.0,1.0,0.806
Non-LA,14.0,1.0,1.0,0.797
Non-LA,15.0,1.0,1.0,0.787
Non-LA,16.0,1.0,1.0,0.778
Non-LA,17.0,1.0,1.0,0.769
Non-LA,18.0,1.0,1.0,0.76
Non-LA,19.0,1.0,1.0,0.751
Non-LA,20.0,1.0,1.0,0.392
Non-LA,21.0,1.0,1.0,0.205
Non-LA,22.0,1.0,1.0,0.107
Non-LA,23.0,1.0,1.0,0.107
Non-LA,24.0,1.0,1.0,0.107
Non-LA,25.0,1.0,1.0,0.107
