Region,Elevation (feet),Storm Surge,Tsunami
Segment 1,0.0,1.24,1.0
Segment 1,1.0,1.24,1.0
Segment 1,2.0,1.24,1.0
Segment 1,3.0,1.24,1.0
Segment 1,4.0,1.171,1.0
Segment 1,5.0,1.0,1.0
Segment 1,6.0,0.855,1.0
Segment 1,7.0,0.73,1.0
Segment 1,8.0,0.624,1.0
Segment 1,9.0,0.533,1.0
Segment 1,10.0,0.455,1.0
Segment 1,11.0,0.389,1.0
Segment 1,12.0,0.332,1.0
Segment 1,13.0,0.283,1.0
Segment 1,14.0,0.242,1.0
Segment 1,15.0,0.206,1.0
Segment 1,16.0,0.176,1.0
Segment 1,17.0,0.15,1.0
Segment 1,18.0,0.129,1.0
Segment 1,19.0,0.11,1.0
Segment 1,20.0,0.094,1.0
Segment 1,21.0,0.081,1.0
Segment 1,22.0,0.068,1.0
Segment 1,23.0,0.059,1.0
Segment 1,24.0,0.051,1.0
Segment 1,25.0,0.043,1.0
Segment 1,26.0,0.036,1.0
Segment 1,27.0,0.029,1.0
Segment 1,28.0,0.024,1.0
Segment 1,29.0,0.022,1.0
Segment 1,30.0,0.019,1.0
Segment 1,31.0,0.016,1.0
Segment 1,32.0,0.013,1.0
Segment 1,33.0,0.009,1.0
Segment 1,34.0,0.009,1.0
Segment 1,35.0,0.009,1.0
Segment 1,36.0,0.009,1.0
Segment 1,37.0,0.009,1.0
Segment 1,38.0,0.006,1.0
Segment 1,39.0,0.006,1.0
Segment 1,40.0,0.006,1.0
Segment 2,0.0,1.521,1.0
Segment 2,1.0,1.521,1.0
Segment 2,2.0,1.521,1.0
Segment 2,3.0,1.428,1.0
Segment 2,4.0,1.195,1.0
Segment 2,5.0,1.0,1.0
Segment 2,6.0,0.796,1.0
Segment 2,7.0,0.634,1.0
Segment 2,8.0,0.505,1.0
Segment 2,9.0,0.402,1.0
Segment 2,10.0,0.32,1.0
Segment 2,11.0,0.255,1.0
Segment 2,12.0,0.203,1.0
Segment 2,13.0,0.162,1.0
Segment 2,14.0,0.129,1.0
Segment 2,15.0,0.103,1.0
Segment 2,16.0,0.081,1.0
Segment 2,17.0,0.065,1.0
Segment 2,18.0,0.051,1.0
Segment 2,19.0,0.041,1.0
Segment 2,20.0,0.041,1.0
CA,0.0,1.0,6.653
CA,1.0,1.0,6.653
CA,2.0,1.0,6.653
CA,3.0,1.0,6.446
CA,4.0,1.0,5.777
CA,5.0,1.0,5.177
CA,6.0,1.0,4.64
CA,7.0,1.0,4.158
CA,8.0,1.0,3.726
CA,9.0,1.0,3.339
CA,10.0,1.0,2.993
CA,11.0,1.0,2.682
CA,12.0,1.0,2.404
