Levee System ID,Annual Probability of Failing Prior to Overtopping,Overtopping Return Period,Levee Quality Factor
1105000001.0,0.00296308347091909,50.0,1.138
1105000002.0,0.00296308347091909,50.0,1.138
1105000009.0,0.00205954218835898,100.0,0.907
1105000015.0,0.00205954218835898,100.0,0.907
1105000028.0,0.00205954218835898,100.0,0.907
1105000045.0,0.00296308347091909,50.0,1.138
1105000051.0,0.00205954218835898,100.0,0.907
1105000055.0,0.00205954218835898,100.0,0.907
1105000060.0,0.00205954218835898,100.0,0.907
1105000067.0,0.00296308347091909,50.0,1.138
1105000068.0,0.00205954218835898,100.0,0.907
1105000072.0,0.00205954218835898,100.0,0.907
1105000077.0,0.00205954218835898,100.0,0.907
1105000085.0,0.00205954218835898,100.0,0.907
1105000088.0,0.00205954218835898,100.0,0.907
1105000092.0,0.00205954218835898,100.0,0.907
1105100038.0,0.00205954218835898,100.0,0.907
1105100066.0,0.00205954218835898,100.0,0.907
1105100080.0,0.00205954218835898,100.0,0.907
1105100081.0,0.00205954218835898,100.0,0.907
1105200038.0,0.00205954218835898,100.0,0.907
1105200044.0,0.00205954218835898,100.0,0.907
1105200078.0,0.00296308347091909,50.0,1.138
1105200080.0,0.00205954218835898,100.0,0.907
1105200081.0,0.00205954218835898,100.0,0.907
1105300080.0,0.00205954218835898,100.0,0.907
1105300081.0,0.00205954218835898,100.0,0.907
1105400080.0,0.00205954218835898,100.0,0.907
1205000001.0,0.00205954218835898,100.0,0.907
1205000002.0,0.00296308347091909,50.0,1.138
1205000003.0,0.00205954218835898,100.0,0.907
1205000004.0,0.00296308347091909,50.0,1.138
1205000005.0,0.00296308347091909,50.0,1.138
1205000007.0,0.000650411332188382,1000.0,0.225
1205000008.0,0.000650411332188382,1000.0,0.225
1205000009.0,0.00205954218835898,100.0,0.907
1205000011.0,0.000650411332188382,1000.0,0.225
1205000013.0,0.00296308347091909,50.0,1.138
1205000014.0,0.00296308347091909,50.0,1.138
1205000023.0,0.00205954218835898,100.0,0.907
1205000032.0,0.00205954218835898,100.0,0.907
1205000040.0,0.00296308347091909,50.0,1.138
1205000041.0,0.00205954218835898,100.0,0.907
1205000042.0,0.00296308347091909,50.0,1.138
1205000043.0,0.00296308347091909,50.0,1.138
1205000044.0,0.00296308347091909,50.0,1.138
1205000045.0,0.00296308347091909,50.0,1.138
1205000048.0,0.00205954218835898,100.0,0.907
1205000052.0,0.00205954218835898,100.0,0.907
1205000055.0,0.00296308347091909,50.0,1.138
1205000056.0,0.000650411332188382,1000.0,0.225
1205000057.0,0.00205954218835898,100.0,0.907
1205000058.0,0.00296308347091909,50.0,1.138
1205000067.0,0.00296308347091909,50.0,1.138
1205000068.0,0.00296308347091909,50.0,1.138
1205000070.0,0.00296308347091909,50.0,1.138
1205000092.0,0.00205954218835898,100.0,0.907
1205000103.0,0.00296308347091909,50.0,1.138
1205000104.0,0.00296308347091909,50.0,1.138
1205000121.0,0.00205954218835898,100.0,0.907
1205000122.0,0.00296308347091909,50.0,1.138
1205000123.0,0.00296308347091909,50.0,1.138
1205000124.0,0.00296308347091909,50.0,1.138
1205000125.0,0.00296308347091909,50.0,1.138
1205000130.0,0.00296308347091909,50.0,1.138
1205000134.0,0.00205954218835898,100.0,0.907
1205000135.0,0.00205954218835898,100.0,0.907
1205000136.0,0.00296022632806195,50.0,1.138
1205000137.0,0.00296308347091909,50.0,1.138
1205000138.0,0.00296308347091909,50.0,1.138
1205000139.0,0.00296308347091909,50.0,1.138
1205000140.0,0.00296308347091909,50.0,1.138
1205000141.0,0.00296308347091909,50.0,1.138
1205000142.0,0.00296308347091909,50.0,1.138
1205000143.0,0.00296308347091909,50.0,1.138
1205000144.0,0.00205954218835898,100.0,0.907
1205000145.0,0.00517378150251021,20.0,1.153
1205000146.0,0.00296308347091909,50.0,1.138
1205000147.0,0.00296308347091909,50.0,1.138
1205000148.0,0.00296308347091909,50.0,1.138
1205000150.0,0.00144023723957437,200.0,0.638
1205000151.0,0.000650411332188382,1000.0,0.225
1205000152.0,0.00296308347091909,50.0,1.138
1205000153.0,0.00517378150251021,20.0,1.153
1205000154.0,0.00296308347091909,50.0,1.138
1205000155.0,0.00296308347091909,50.0,1.138
1205000156.0,0.00296308347091909,50.0,1.138
1205000157.0,0.00517378150251021,20.0,1.153
1205000158.0,0.00517378150251021,20.0,1.153
1205000159.0,0.000915238754477,500.0,0.358
1205000160.0,0.00296308347091909,50.0,1.138
1205000162.0,0.00205954218835898,100.0,0.907
1205000163.0,0.00972591269841269,10.0,1.153
1205000165.0,0.00296308347091909,50.0,1.138
1205000166.0,0.00296308347091909,50.0,1.138
1205000167.0,0.000650411332188382,1000.0,0.225
1205000168.0,0.00296308347091909,50.0,1.138
1205000170.0,0.00296308347091909,50.0,1.138
1205000172.0,0.00296308347091909,50.0,1.138
1205000174.0,0.00296308347091909,50.0,1.138
1205000175.0,0.00296308347091909,50.0,1.138
1205000176.0,0.00296308347091909,50.0,1.138
1205000177.0,0.000650411332188382,1000.0,0.225
1205000178.0,0.00296308347091909,50.0,1.138
1205000179.0,0.00296308347091909,50.0,1.138
1205000180.0,0.00296308347091909,50.0,1.138
1205000181.0,0.00296308347091909,50.0,1.138
1205000182.0,0.00296308347091909,50.0,1.138
1205000183.0,0.00296308347091909,50.0,1.138
1205000184.0,0.00296308347091909,50.0,1.138
1205000185.0,0.00296308347091909,50.0,1.138
1205000186.0,0.000650411332188382,1000.0,0.225
1205000187.0,0.00296308347091909,50.0,1.138
1205000188.0,0.00296308347091909,50.0,1.138
1205000189.0,0.00296308347091909,50.0,1.138
1205000190.0,0.00296308347091909,50.0,1.138
1205000191.0,0.00296308347091909,50.0,1.138
1205000193.0,0.000915238754477,500.0,0.358
1205000196.0,0.00296308347091909,50.0,1.138
1205000197.0,0.00296308347091909,50.0,1.138
1205000201.0,0.00296308347091909,50.0,1.138
1205000202.0,0.00296308347091909,50.0,1.138
1205000203.0,0.00128463567752154,250.0,0.559
1205000204.0,0.00972591269841269,10.0,1.153
1205000205.0,0.00296308347091909,50.0,1.138
1205000206.0,0.000650411332188382,1000.0,0.225
1205000207.0,0.00296308347091909,50.0,1.138
1205000209.0,0.000650411332188382,1000.0,0.225
1205000210.0,0.000650411332188382,1000.0,0.225
1205000211.0,0.00205954218835898,100.0,0.907
1205000244.0,0.00205954218835898,100.0,0.907
1205000245.0,0.00296308347091909,50.0,1.138
1205000247.0,0.00205954218835898,100.0,0.907
1205000248.0,0.00296308347091909,50.0,1.138
1205000253.0,0.00296308347091909,50.0,1.138
1205000254.0,0.00296308347091909,50.0,1.138
1205000257.0,0.00296308347091909,50.0,1.138
1205000258.0,0.00205954218835898,100.0,0.907
1205100002.0,0.00296308347091909,50.0,1.138
1205100003.0,0.00296308347091909,50.0,1.138
1205200001.0,0.000650411332188382,1000.0,0.225
1205200002.0,0.00296308347091909,50.0,1.138
1205200003.0,0.00296308347091909,50.0,1.138
1205200120.0,0.00296308347091909,50.0,1.138
1205400003.0,0.00296308347091909,50.0,1.138
1205400004.0,0.00296308347091909,50.0,1.138
1205400005.0,0.00296308347091909,50.0,1.138
1205400006.0,0.00296308347091909,50.0,1.138
1205400007.0,0.00296308347091909,50.0,1.138
1205400008.0,0.00296308347091909,50.0,1.138
1205400009.0,0.00296308347091909,50.0,1.138
1205400010.0,0.00296308347091909,50.0,1.138
1205400011.0,0.00296308347091909,50.0,1.138
1205400012.0,0.00296308347091909,50.0,1.138
1205400013.0,0.00296308347091909,50.0,1.138
1205400015.0,0.00296308347091909,50.0,1.138
1205400016.0,0.00296308347091909,50.0,1.138
1205400017.0,0.00296308347091909,50.0,1.138
1205400018.0,0.00296022632806195,50.0,1.138
1205400020.0,0.00144023723957437,200.0,0.638
1305000004.0,0.000650411332188382,1000.0,0.225
1305000006.0,0.00296308347091909,50.0,1.138
1305000007.0,0.00972591269841269,10.0,1.153
1305000010.0,0.00972591269841269,10.0,1.153
1305000013.0,0.00972591269841269,10.0,1.153
1305000015.0,0.00972591269841269,10.0,1.153
1305000016.0,0.00296308347091909,50.0,1.138
1305000018.0,0.00205954218835898,100.0,0.907
1305000019.0,0.000650411332188382,1000.0,0.225
1305000028.0,0.00296308347091909,50.0,1.138
1305000108.0,0.00972591269841269,10.0,1.153
1305000109.0,0.00296308347091909,50.0,1.138
1305000114.0,0.00296308347091909,50.0,1.138
1305000115.0,0.00296308347091909,50.0,1.138
1305000118.0,0.0009327983901517,100.0,0.919
1305000119.0,0.00296308347091909,50.0,1.138
1305000120.0,0.00296308347091909,50.0,1.138
1305000121.0,0.00296308347091909,50.0,1.138
1305000124.0,0.00972591269841269,10.0,1.153
1305000128.0,0.00296308347091909,50.0,1.138
1305000130.0,0.000650411332188382,1000.0,0.225
1305000131.0,0.00296308347091909,50.0,1.138
1305000132.0,0.00296308347091909,50.0,1.138
1305000136.0,0.00205954218835898,100.0,0.907
1305000138.0,0.000915238754477,500.0,0.358
1305000140.0,0.00296308347091909,50.0,1.138
1305000141.0,0.00296308347091909,50.0,1.138
1305000143.0,0.00296308347091909,50.0,1.138
1305000144.0,0.00296308347091909,50.0,1.138
1305000145.0,0.00296308347091909,50.0,1.138
1305000149.0,0.00296308347091909,50.0,1.138
1305000154.0,0.00296308347091909,50.0,1.138
1305000306.0,0.00296308347091909,50.0,1.138
1305000307.0,0.000650411332188382,1000.0,0.225
1305000311.0,0.00296308347091909,50.0,1.138
1305000313.0,0.00296308347091909,50.0,1.138
1305000319.0,0.00296308347091909,50.0,1.138
1305000320.0,0.00296308347091909,50.0,1.138
1305000321.0,0.00296308347091909,50.0,1.138
1305000322.0,0.00296308347091909,50.0,1.138
1305000323.0,0.00296308347091909,50.0,1.138
1305000328.0,0.00972591269841269,10.0,1.153
1305000337.0,0.00296308347091909,50.0,1.138
1305000338.0,0.000650411332188382,1000.0,0.225
1305000345.0,0.00128463567752154,250.0,0.559
1305000349.0,0.0271408333333333,5.0,1.153
1305000350.0,0.000915238754477,500.0,0.358
1305000370.0,0.00296308347091909,50.0,1.138
1305000371.0,0.00296308347091909,50.0,1.138
1305000372.0,0.00296308347091909,50.0,1.138
1305000374.0,0.000650411332188382,1000.0,0.225
1305000508.0,0.000650411332188382,1000.0,0.225
1305000519.0,0.00296308347091909,50.0,1.138
1305000523.0,0.00296308347091909,50.0,1.138
1305000525.0,0.00296308347091909,50.0,1.138
1305000526.0,0.00296308347091909,50.0,1.138
1305000527.0,0.00296308347091909,50.0,1.138
1305000528.0,0.00296308347091909,50.0,1.138
1305000529.0,0.00296308347091909,50.0,1.138
1305000530.0,0.00296308347091909,50.0,1.138
1305000531.0,0.00296308347091909,50.0,1.138
1305000532.0,0.0271408333333333,5.0,1.153
1305000533.0,0.0271408333333333,5.0,1.153
1305000534.0,0.0271408333333333,5.0,1.153
1305000535.0,0.00296308347091909,50.0,1.138
1305000536.0,0.0271408333333333,5.0,1.153
1305000541.0,0.00296308347091909,50.0,1.138
1305000542.0,0.00296308347091909,50.0,1.138
1305000548.0,0.0009327983901517,100.0,0.919
1305000551.0,0.0009327983901517,100.0,0.919
1305000553.0,0.00296308347091909,50.0,1.138
1305000555.0,0.0271408333333333,5.0,1.153
1305000565.0,0.00296308347091909,50.0,1.138
1305000567.0,0.00296308347091909,50.0,1.138
1305000574.0,0.00296308347091909,50.0,1.138
1305000597.0,0.00205954218835898,100.0,0.907
1305000599.0,0.00296308347091909,50.0,1.138
1305000604.0,0.00296308347091909,50.0,1.138
1305000612.0,0.00296308347091909,50.0,1.138
