Levee System ID,Annual Probability of Failing Prior to Overtopping,Overtopping Return Period
1205000162.0,0.00131089855737958,50.0
1205000193.0,0.00131089855737958,50.0
1205000203.0,0.00131089855737958,50.0
1405000242.0,0.000932799833250378,100.0
1405000743.0,0.00131089855737958,50.0
1605245001.0,0.000932799833250378,100.0
1605245005.0,0.000932799833250378,100.0
1605252001.0,0.000932799833250378,100.0
1605252002.0,0.000932799833250378,100.0
1605252004.0,0.000932799833250378,100.0
1605255005.0,0.00131089855737958,50.0
1605255007.0,0.00131089855737958,50.0
1605255009.0,0.00131089855737958,50.0
1605255028.0,0.00131089855737958,50.0
1605255030.0,0.00131089855737958,50.0
1605255031.0,0.00131089855737958,50.0
1605255033.0,0.00131089855737958,50.0
1605257001.0,0.000932799833250378,100.0
1605666496.0,0.00131089855737958,50.0
1605666499.0,0.000932799833250378,100.0
1605666511.0,0.000932799833250378,100.0
1605666518.0,0.000932799833250378,100.0
1605992323.0,0.000648981272249619,100.0
1605995001.0,0.00131089855737958,50.0
1605995061.0,0.00131089855737958,50.0
1605995104.0,0.00131089855737958,50.0
1605995130.0,0.00131089855737958,50.0
1605995131.0,0.00131089855737958,50.0
1605995169.0,0.000932799833250378,100.0
1605995190.0,0.00131089855737958,50.0
1605995191.0,0.00131089855737958,50.0
1605995192.0,0.00131089855737958,50.0
1605995193.0,0.00131089855737958,50.0
2305300002.0,1.27209256354582e-05,200.0
300005009050.0,0.00131089855737958,50.0
300005009335.0,0.00131089855737958,50.0
300005009355.0,0.00131089855737958,50.0
300005009390.0,0.00131089855737958,50.0
300005009415.0,0.00131089855737958,50.0
300005009535.0,0.00131089855737958,50.0
300005009580.0,0.00131089855737958,50.0
3105000001.0,0.000255712818641657,200.0
3105000002.0,0.00348897886859947,130.0
3105000003.0,8.61363666440671e-05,300.0
3105000004.0,0.000107857878812609,200.0
3205052302.0,5.16387007098535e-05,200.0
3405000006.0,0.000125354047327218,5000.0
3405000007.0,0.000136800906565527,5000.0
3405000015.0,0.000249571887708976,5000.0
3405000016.0,0.000167683864399963,5000.0
3405000050.0,0.000476706466633722,500.0
3405000051.0,0.000330934969407937,500.0
3405000076.0,7.54939184171783e-05,1000.0
3405000090.0,2.18023599092719e-05,1000.0
3405000121.0,0.000730896056853547,50.0
3405000122.0,0.000103703218855627,500.0
430005400026.0,0.00131089855737958,50.0
430005400028.0,0.00131089855737958,50.0
430005400029.0,0.00131089855737958,50.0
430005400031.0,0.00131089855737958,50.0
4305000020.0,4.84029860666779e-05,1000.0
4305000040.0,6.65157347074996e-05,500.0
4305000045.0,0.000204618047516311,50.0
4305000049.0,7.150817780413e-05,100.0
4305000051.0,0.000165073959990548,500.0
4405000506.0,0.000361476648378077,50.0
4405000507.0,0.00247086413151145,20.0
4405000511.0,0.00137512146325293,20.0
4405000512.0,0.000648981272249619,100.0
4405000513.0,0.000648981272249619,100.0
4405000518.0,0.25,2.0
4405000524.0,0.00141884892267082,100.0
4405000556.0,9.11024416983359e-05,200.0
4405000557.0,0.000694363749678491,200.0
4505000021.0,0.00141101332427767,50.0
4505000036.0,0.25,2.0
