HUC12,Levee System ID,Inland Flood,Storm Surge
10100030403.0,4305000046.0,0.725,0.0
10100041403.0,4305000001.0,0.884,0.0
10100080505.0,4305000046.0,0.72,0.0
10100081201.0,4305000046.0,0.758,0.0
10200050603.0,4305000043.0,0.788,1.003
10300031606.0,4305000048.0,0.823,1.023
10300031606.0,4305000047.0,0.795,1.003
10300031702.0,4305000048.0,0.823,1.023
10600030601.0,4305000007.0,0.857,1.026
10600030806.0,1105100066.0,0.998,1.023
10700010104.0,1105000001.0,1.834,0.0
10700010104.0,4305000019.0,1.834,0.0
10700040402.0,4305000027.0,1.834,1.026
10700050103.0,4305000052.0,1.834,1.026
10700061205.0,4305000026.0,1.834,0.927
10700061206.0,4305000027.0,1.834,1.026
10700061206.0,4305000026.0,1.834,0.974
10700061401.0,4305000025.0,1.834,1.026
10700061402.0,4305000025.0,1.834,1.026
10802010604.0,1105000002.0,0.637,0.0
10802010606.0,4305000029.0,0.515,1.026
10802010606.0,4305000013.0,0.521,1.023
10802010610.0,4305000029.0,0.534,0.0
10802010610.0,4305000013.0,0.566,0.0
10802010610.0,1105000002.0,0.738,0.0
10802010610.0,1105000085.0,0.447,0.0
10802010702.0,1105200038.0,0.429,1.023
10802010702.0,1105100038.0,0.429,1.023
10802010702.0,1105200044.0,0.429,1.023
10802010702.0,4305000012.0,0.429,1.023
10802010702.0,4305000014.0,0.394,1.026
10802010702.0,4305000008.0,0.412,1.026
10802010702.0,4305000028.0,0.566,1.026
10802010702.0,4305000009.0,0.502,0.993
10802010702.0,4305000006.0,0.383,0.974
10802010702.0,4305000005.0,0.429,1.023
10802010702.0,4305000016.0,0.394,1.003
10802010702.0,4305000015.0,0.415,1.026
10802020201.0,4305000061.0,0.536,1.003
10802020201.0,1105000051.0,0.551,1.023
10802040206.0,4305000031.0,0.537,0.0
10802040206.0,4305000030.0,0.531,0.0
10802040207.0,4305000031.0,0.601,1.023
10802040207.0,4305000030.0,0.593,1.026
10802040207.0,1105000088.0,0.601,1.023
10802040305.0,1105000055.0,0.426,1.026
10802040305.0,4305000044.0,0.431,1.023
10802040402.0,4305000004.0,0.418,1.023
10802040402.0,4305000006.0,0.394,0.872
10802040402.0,4305000005.0,0.418,1.023
10802050101.0,4305000028.0,0.566,1.026
10802050101.0,4305000008.0,0.412,1.026
10802050102.0,4305000008.0,0.412,1.026
10802050102.0,1105000015.0,0.519,1.023
10802050301.0,1105000072.0,0.977,1.026
10802050302.0,4305000032.0,0.819,1.026
10802050303.0,4305000032.0,0.81,1.026
10802050303.0,4305000011.0,0.793,1.026
10802050402.0,4305000010.0,0.337,0.986
10802050501.0,4305000010.0,0.367,1.026
10802050502.0,4305000010.0,0.514,1.026
10802050502.0,4305000011.0,0.5,1.026
10802050505.0,4305000011.0,0.537,1.003
10802060301.0,1105000009.0,1.406,0.974
10802060303.0,1105000009.0,1.013,1.026
10802060303.0,4305000022.0,0.944,1.026
10802060305.0,4305000016.0,0.583,1.003
10900010802.0,4305000039.0,1.032,2.156
