HUC12,Inland Flood,Storm Surge
10100020101.0,1.143,0.0
10100020102.0,1.141,0.0
10100020103.0,1.141,0.0
10100020104.0,1.141,0.0
10100020105.0,1.141,0.0
10100020201.0,1.141,0.0
10100020202.0,1.141,0.0
10100020203.0,1.141,0.0
10100020204.0,1.141,0.0
10100020301.0,1.171,0.0
10100020302.0,1.171,0.0
10100020303.0,1.171,0.0
10100020304.0,1.171,0.0
10100020305.0,1.171,0.0
10100020306.0,1.171,0.0
10100020307.0,1.171,0.0
10100020308.0,1.171,0.0
10100020401.0,1.14,0.0
10100020402.0,1.14,0.0
10100020403.0,1.14,0.0
10100020404.0,1.14,0.0
10100020405.0,1.14,0.0
10100020406.0,1.14,0.0
10100020501.0,1.14,0.0
10100020502.0,1.14,0.0
10100020503.0,1.14,0.0
10100020504.0,1.143,0.0
10100020505.0,1.14,0.0
10100020601.0,1.153,0.0
10100020602.0,1.153,0.0
10100020701.0,1.14,0.0
10100020702.0,1.14,0.0
10100020703.0,1.14,0.0
10100020704.0,1.14,0.0
10100020705.0,1.153,0.0
10100020706.0,1.153,0.0
10100020707.0,1.153,0.0
10100020708.0,1.153,0.0
10100020709.0,1.153,0.0
10100020710.0,1.153,0.0
10100020711.0,1.153,0.0
10100030101.0,2.261,0.0
10100030102.0,2.261,0.0
10100030103.0,2.261,0.0
10100030104.0,2.261,0.0
10100030105.0,2.261,0.0
10100030201.0,2.261,0.0
10100030202.0,2.261,0.0
10100030203.0,2.261,0.0
10100030204.0,2.261,0.0
10100030205.0,2.261,0.0
10100030206.0,2.261,0.0
10100030207.0,2.261,0.0
10100030301.0,2.219,0.0
10100030302.0,2.261,0.0
10100030303.0,2.261,0.0
10100030304.0,2.261,0.0
10100030305.0,2.261,0.0
10100030306.0,2.261,0.0
10100030307.0,2.261,0.0
10100030308.0,2.261,0.0
10100030309.0,2.261,0.0
10100030310.0,2.261,0.0
10100030401.0,1.735,0.0
10100030402.0,1.652,0.0
10100030403.0,1.648,0.0
10100040101.0,0.912,0.0
10100040102.0,0.912,0.0
10100040103.0,0.912,0.0
10100040104.0,0.912,0.0
10100040201.0,0.782,0.0
